"site","trap","longitude","latitude","date_setup","date_collect","Onthophagus taurus","Euoniticellus fulvus","Euoniticellus pallipes","Onitis aygulus","Onthophagus binodis","Onitis alexis","Euoniticellus intermedius","Bubas bison","Onthophagus ferox","Onthophagus vermiculatus","Copris hispanus"
"Jingalup","Trap 1",116.972397,-34.004007,2012-06-12,2012-06-13 11:43:47,0,0,0,0,0,0,0,1,0,0,0
"Manjimup","Trap 1",116.087979,-34.322199,2012-06-17,2012-06-18 00:00:00,0,0,0,0,1,0,0,5,0,0,0
"Manjimup","Trap 2",116.087985,-34.322194,2012-06-17,2012-06-18 00:00:00,0,0,0,0,0,0,0,2,0,0,0
"Bullsbrook","Trap 2",116.007969,-31.711522,2012-06-26,2012-06-27 13:02:00,0,0,0,0,0,0,2,4,0,0,0
"Badgingarra","Trap 2",115.591987,-30.277745,2012-06-26,2012-06-27 13:02:49,0,0,0,0,0,0,4,33,0,0,0
"Badgingarra","Trap 1",115.591779,-30.277467,2012-06-26,2012-06-27 13:02:27,0,0,0,0,0,0,5,35,0,0,0
"Bullsbrook","Trap 1",116.008171,-31.711725,2012-06-26,2012-06-27 13:01:38,0,0,0,0,0,0,0,1,0,0,0
"Quairading","Trap 1",117.666051,-32.188179,2012-07-03,2012-07-04 11:13:59,0,0,1,0,0,0,1,12,0,0,0
"Quairading","Trap 2",117.665843,-32.188177,2012-07-03,2012-07-04 11:14:27,0,0,1,0,0,0,1,9,0,0,0
"Clackline","Trap 2",116.574014,-31.729294,2012-07-03,2012-07-04 12:57:43,0,0,0,0,0,0,0,27,0,0,0
"Clackline","Trap 1",116.574213,-31.729248,2012-07-03,2012-07-04 12:57:10,0,0,0,0,0,0,0,35,0,0,0
"Narrikup","Trap 1",117.728324,-34.725057,2012-07-09,2012-07-10 16:12:29,0,0,0,0,3,0,0,2,0,0,0
"Narrikup","Trap 2",117.728324,-34.725057,2012-07-09,2012-07-10 16:13:04,0,0,0,0,2,0,0,0,0,0,0
"Jingalup","Trap 2",116.97241,-34.003891,2012-07-10,2012-07-11 11:43:26,0,0,0,0,0,0,0,3,0,0,0
"Kojonup","Trap 2",117.182336,-33.908102,2012-07-10,2012-07-11 12:15:59,0,0,0,0,0,0,0,34,0,0,0
"Duranillin","Trap 2",116.827388,-33.479177,2012-07-10,2012-07-11 14:18:24,0,0,0,0,0,0,0,13,0,0,0
"Narrikine","Trap 1",116.751078,-32.968845,2012-07-10,2012-07-11 15:37:01,0,0,0,0,0,0,0,4,0,0,0
"Jingalup","Trap 1",116.972397,-34.004007,2012-07-10,2012-07-11 11:42:40,0,0,0,0,0,0,0,3,0,0,0
"Kojonup","Trap 1",117.182348,-33.908095,2012-07-10,2012-07-11 12:15:27,0,0,0,0,0,0,0,38,0,0,0
"Duranillin","Trap 1",116.827276,-33.479275,2012-07-10,2012-07-11 14:17:58,0,0,0,0,0,0,0,6,0,0,0
