"site","trap","longitude","latitude","date_setup","date_collect","Onthophagus taurus","Euoniticellus fulvus","Euoniticellus pallipes","Onitis aygulus","Onthophagus binodis","Onitis alexis","Euoniticellus intermedius","Bubas bison","Onthophagus ferox","Onthophagus vermiculatus","Copris hispanus"
"Manjimup","Trap 1",116.087979,-34.322199,2013-09-02,2013-09-03 00:00:00,50,14,0,0,4,0,0,0,0,2,0
"Manjimup","Trap 2",116.087985,-34.322194,2013-09-02,2013-09-03 00:00:00,96,2,0,0,5,0,0,0,0,2,0
"Clackline","Trap 1",116.574213,-31.729248,2013-09-10,2013-09-11 00:00:00,0,0,0,0,0,0,0,1,0,0,0
"Clackline","Trap 2",116.574014,-31.729294,2013-09-10,2013-09-11 00:00:00,0,0,0,0,0,0,0,3,0,0,0
"Badgingarra","Trap 1",115.591779,-30.277467,2013-09-17,2013-09-18 00:00:00,0,0,0,0,0,0,0,0,1,0,0
"Badgingarra","Trap 2",115.591987,-30.277745,2013-09-17,2013-09-18 00:00:00,0,0,0,0,0,0,1,3,2,0,0
"Bullsbrook","Trap 2",116.007969,-31.711522,2013-09-17,2013-09-18 10:14:14,0,0,0,0,0,0,0,1,0,0,0
"Jingalup","Trap 1",116.972397,-34.004007,2013-10-02,2013-10-03 11:27:13,1,0,0,0,0,0,0,0,0,0,0
"Narrikup","Trap 1",117.728324,-34.725057,2013-10-02,2013-10-03 09:41:40,3367,318,0,0,388,0,0,4,0,0,0
"Narrikup","Trap 2",117.728324,-34.725057,2013-10-02,2013-10-03 09:42:13,3714,401,0,0,419,0,0,0,0,0,0
"Jingalup","Trap 2",116.97241,-34.003891,2013-10-02,2013-10-03 11:27:40,3,0,0,0,0,0,0,0,0,0,0
"Kojonup","Trap 2",117.182336,-33.908102,2013-10-02,2013-10-03 12:03:08,2,0,0,0,0,0,0,0,0,0,0
"Williams","Trap 2",116.938162,-33.060184,2013-10-02,2013-10-03 14:16:47,50,0,8,0,0,0,0,1,0,0,0
"Narrikine","Trap 1",116.751078,-32.968845,2013-10-02,2013-10-03 14:52:13,22,0,2,0,0,0,0,0,0,0,0
"Narrikine","Trap 2",116.751078,-32.968848,2013-10-02,2013-10-03 14:52:43,19,0,0,0,0,0,0,1,0,0,0
"Kojonup","Trap 1",117.182348,-33.908095,2013-10-02,2013-10-03 12:02:33,3,0,0,0,0,0,0,0,0,0,0
"Williams","Trap 1",116.938316,-33.06014,2013-10-02,2013-10-03 14:16:20,36,0,8,0,0,0,0,2,0,0,0
"Manjimup","Trap 2",116.087985,-34.322194,2013-09-26,2013-09-27 00:00:00,1,0,0,0,0,0,0,0,1,0,0
"Clackline","Trap 2",116.574014,-31.729294,2013-10-08,2013-10-09 00:00:00,2,0,1,0,0,0,0,1,1,0,0
"Quairading","Trap 1",117.666051,-32.188179,2013-10-08,2013-10-09 00:00:00,0,0,1,0,0,0,0,0,0,0,0
"Quairading","Trap 2",117.665843,-32.188177,2013-10-08,2013-10-09 00:00:00,0,0,1,0,0,0,0,0,0,0,0
"Badgingarra","Trap 2",115.591987,-30.277745,2013-10-16,2013-10-17 11:42:18,39,0,5,0,0,0,18,3,2,0,0
"Bullsbrook","Trap 2",116.007969,-31.711522,2013-10-16,2013-10-17 09:16:11,5,0,0,0,0,0,1,0,0,0,0
"Badgingarra","Trap 1",115.591779,-30.277467,2013-10-16,2013-10-17 11:41:44,52,0,5,0,0,0,14,2,0,0,0
"Bullsbrook","Trap 1",116.008171,-31.711725,2013-10-16,2013-10-17 09:15:43,18,0,1,0,0,0,1,0,0,0,0
"Williams","Trap 1",116.938316,-33.06014,2013-10-29,2013-10-30 13:58:58,9,0,0,0,0,0,0,0,0,0,0
"Duranillin","Trap 1",116.827276,-33.479275,2013-10-29,2013-10-30 12:46:49,2,0,0,0,0,0,0,0,0,0,0
"Narrikup","Trap 1",117.728324,-34.725057,2013-10-28,2013-10-29 16:53:44,151,0,0,0,25,0,0,1,0,1,0
"Narrikup","Trap 2",117.728324,-34.725057,2013-10-28,2013-10-29 16:54:23,140,1,0,0,27,0,0,0,0,1,0
"Jingalup","Trap 2",116.97241,-34.003891,2013-10-29,2013-10-30 11:10:00,5,0,0,0,0,0,0,0,0,0,0
"Kojonup","Trap 1",117.182348,-33.908095,2013-10-29,2013-10-30 11:39:58,5,0,0,0,0,0,0,2,0,0,0
"Kojonup","Trap 2",117.182336,-33.908102,2013-10-29,2013-10-30 11:40:32,3,0,0,0,0,0,0,3,0,0,0
"Duranillin","Trap 2",116.827388,-33.479177,2013-10-29,2013-10-30 12:47:13,3,0,0,0,0,0,0,0,0,0,0
"Williams","Trap 2",116.938162,-33.060184,2013-10-29,2013-10-30 13:59:29,13,0,3,0,0,0,0,0,0,0,0
"Narrikine","Trap 2",116.751078,-32.968848,2013-10-29,2013-10-30 14:57:41,27,0,0,0,0,0,0,0,0,0,0
"Jingalup","Trap 1",116.972397,-34.004007,2013-10-29,2013-10-30 11:09:28,12,0,0,0,0,0,0,0,0,0,0
"Narrikine","Trap 1",116.751078,-32.968845,2013-10-29,2013-10-30 14:57:11,20,0,0,0,0,0,0,0,0,0,0
"Manjimup","Trap 1",116.087979,-34.322199,2013-10-29,2013-10-30 00:00:00,48,1,0,0,13,0,0,0,0,0,0
"Manjimup","Trap 2",116.087985,-34.322194,2013-10-29,2013-10-30 00:00:00,33,1,0,0,9,0,0,0,0,0,0
"Quairading","Trap 1",117.666051,-32.188179,2013-11-05,2013-11-06 11:39:47,0,0,1,0,0,0,0,0,0,0,0
"Quairading","Trap 2",117.665843,-32.188177,2013-11-05,2013-11-06 11:40:31,0,0,2,0,0,0,5,0,0,0,0
"Clackline","Trap 1",116.574213,-31.729248,2013-11-05,2013-11-06 14:00:37,152,0,10,0,0,0,6,0,0,0,0
"Clackline","Trap 2",116.574014,-31.729294,2013-11-05,2013-11-06 14:01:16,134,0,8,0,0,0,2,0,0,0,0
"Bullsbrook","Trap 1",116.008171,-31.711725,2013-11-12,2013-11-13 09:12:12,23,0,5,0,0,0,0,0,0,0,0
"Bullsbrook","Trap 2",116.007969,-31.711522,2013-11-12,2013-11-13 09:12:52,45,0,1,0,0,1,3,0,0,0,0
"Badgingarra","Trap 2",115.591987,-30.277745,2013-11-12,2013-11-13 11:16:29,45,0,0,2,0,41,44,0,0,0,0
"Badgingarra","Trap 1",115.591779,-30.277467,2013-11-12,2013-11-13 11:15:33,18,0,4,0,0,9,8,0,0,0,0
"Narrikup","Trap 2",117.728324,-34.725057,2013-11-25,2013-11-26 16:57:45,70,0,0,0,16,0,0,0,0,0,0
"Jingalup","Trap 2",116.97241,-34.003891,2013-11-26,2013-11-27 10:56:00,18,0,0,0,0,0,0,0,0,0,0
"Kojonup","Trap 1",117.182348,-33.908095,2013-11-26,2013-11-27 11:29:55,2,0,3,0,0,0,0,0,0,0,0
"Kojonup","Trap 2",117.182336,-33.908102,2013-11-26,2013-11-27 11:30:24,4,0,0,0,0,0,0,0,0,0,0
"Duranillin","Trap 1",116.827276,-33.479275,2013-11-26,2013-11-27 12:45:04,8,0,0,0,0,0,0,0,0,0,0
"Duranillin","Trap 2",116.827388,-33.479177,2013-11-26,2013-11-27 12:45:35,10,0,0,0,0,0,0,0,0,0,0
"Williams","Trap 1",116.938316,-33.06014,2013-11-26,2013-11-27 13:39:01,61,0,3,0,0,0,0,0,0,0,0
"Williams","Trap 2",116.938162,-33.060184,2013-11-26,2013-11-27 13:39:32,74,1,8,0,0,0,0,0,0,0,0
"Narrikine","Trap 1",116.751078,-32.968845,2013-11-26,2013-11-27 00:00:00,570,1,14,2,0,0,0,0,0,0,0
"Narrikine","Trap 2",116.751078,-32.968848,2013-11-26,2013-11-27 14:21:21,738,0,25,8,0,0,0,0,0,0,0
"Jingalup","Trap 1",116.972397,-34.004007,2013-11-26,2013-11-27 10:55:28,16,0,0,0,0,0,0,0,0,0,0
"Narrikup","Trap 1",117.728324,-34.725057,2013-11-25,2013-11-26 16:57:03,107,4,0,0,22,0,0,0,0,0,0
"Manjimup","Trap 1",116.087979,-34.322199,2013-11-25,2013-11-26 00:00:00,298,66,0,0,14,0,0,0,0,0,0
"Manjimup","Trap 2",116.087985,-34.322194,2013-11-25,2013-11-26 00:00:00,463,39,0,0,12,0,0,0,0,0,0
"Vasse","Trap 1",115.337179,-33.750399,2013-11-25,2013-11-26 00:00:00,476,3,8,0,0,0,0,0,0,0,0
"Vasse","Trap 2",115.337179,-33.7504,2013-11-25,2013-11-26 00:00:00,611,3,6,0,0,0,0,0,0,0,0
"Quairading","Trap 1",117.666051,-32.188179,2013-12-03,2013-12-04 11:34:17,0,0,0,0,0,2,2,0,0,0,0
"Quairading","Trap 2",117.665843,-32.188177,2013-12-03,2013-12-04 11:34:50,0,0,2,0,0,0,2,0,0,0,0
"Clackline","Trap 1",116.574213,-31.729248,2013-12-03,2013-12-04 13:46:48,8,0,0,0,0,3,1,0,0,0,0
"Clackline","Trap 2",116.574014,-31.729294,2013-12-03,2013-12-04 13:47:28,13,0,0,0,0,1,0,0,0,0,0
"Bullsbrook","Trap 1",116.008171,-31.711725,2013-12-10,2013-12-11 09:45:48,281,0,47,0,0,0,11,0,0,0,0
"Badgingarra","Trap 1",115.591779,-30.277467,2013-12-10,2013-12-11 12:18:26,12,0,0,0,0,4,11,0,0,0,0
"Badgingarra","Trap 2",115.591987,-30.277745,2013-12-10,2013-12-11 12:19:04,25,0,0,2,0,4,7,0,0,0,0
"Bullsbrook","Trap 2",116.007969,-31.711522,2013-12-10,2013-12-11 09:46:14,266,2,50,0,0,0,11,0,0,0,0
"Narrikup","Trap 1",117.728324,-34.725057,2013-12-17,2013-12-18 09:27:51,11,1,0,0,0,0,0,0,0,0,0
"Narrikup","Trap 2",117.728324,-34.725057,2013-12-17,2013-12-18 09:28:24,18,0,0,0,0,0,0,0,0,0,0
"Jingalup","Trap 1",116.972397,-34.004007,2013-12-17,2013-12-18 11:12:19,481,0,1,0,0,0,0,0,0,0,0
"Jingalup","Trap 2",116.97241,-34.003891,2013-12-17,2013-12-18 11:12:48,669,0,12,2,0,0,0,0,0,0,0
"Kojonup","Trap 1",117.182348,-33.908095,2013-12-17,2013-12-18 11:43:33,334,3,4,0,0,0,0,0,0,0,0
"Kojonup","Trap 2",117.182336,-33.908102,2013-12-17,2013-12-18 11:44:00,108,0,4,1,0,0,0,0,0,0,0
"Williams","Trap 1",116.938316,-33.06014,2013-12-17,2013-12-18 13:42:23,83,0,4,0,0,0,1,0,0,0,0
"Narrikine","Trap 1",116.751078,-32.968845,2013-12-17,2013-12-18 14:28:05,288,0,3,3,0,0,0,0,0,0,0
"Narrikine","Trap 2",116.751078,-32.968848,2013-12-17,2013-12-18 14:28:35,479,0,2,0,0,0,0,0,0,0,0
"Vasse","Trap 1",115.337179,-33.750399,2013-12-16,2013-12-17 00:00:00,4528,102,30,0,5,0,0,0,0,0,0
"Vasse","Trap 2",115.337179,-33.7504,2013-12-16,2013-12-17 00:00:00,6618,302,38,0,12,0,0,0,0,0,0
"Bullsbrook","Trap 1",116.008171,-31.711725,2014-01-14,2014-01-15 09:29:43,7,0,3,0,0,2,15,0,0,0,0
"Quairading","Trap 1",117.666051,-32.188179,2014-01-07,2014-01-08 12:37:56,0,0,10,0,0,0,2,0,0,0,0
"Quairading","Trap 2",117.665843,-32.188177,2014-01-07,2014-01-08 12:38:51,0,0,18,0,0,0,1,0,0,0,0
"Clackline","Trap 2",116.574014,-31.729294,2014-01-07,2014-01-08 14:38:27,0,0,10,0,0,0,1,0,0,0,0
"Bullsbrook","Trap 2",116.007969,-31.711522,2014-01-14,2014-01-15 09:30:13,2,0,0,0,0,2,8,0,0,0,0
"Badgingarra","Trap 2",115.591987,-30.277745,2014-01-14,2014-01-15 11:31:42,0,0,2,0,0,0,0,0,0,0,0
"Clackline","Trap 1",116.574213,-31.729248,2014-01-07,2014-01-08 14:37:31,3,0,13,0,0,0,0,0,0,0,0
"Badgingarra","Trap 1",115.591779,-30.277467,2014-01-14,2014-01-15 00:00:00,0,0,1,0,0,1,3,0,0,0,0
"Quairading","Trap 1",117.666051,-32.188179,2014-02-04,2014-02-05 11:18:04,0,0,0,0,0,2,0,0,0,0,0
"Quairading","Trap 2",117.665843,-32.188177,2014-02-04,2014-02-05 11:18:46,0,0,0,0,0,1,1,0,0,0,0
"Clackline","Trap 1",116.574213,-31.729248,2014-02-04,2014-02-05 13:07:07,4,0,12,0,0,4,2,0,0,0,0
"Clackline","Trap 2",116.574014,-31.729294,2014-02-04,2014-02-05 13:08:46,23,0,36,1,0,3,2,0,0,0,0
"Narrikine","Trap 1",116.751078,-32.968845,2014-01-21,2014-01-22 00:00:00,4,0,4,0,0,0,0,0,0,0,0
"Narrikine","Trap 2",116.751078,-32.968848,2014-01-21,2014-01-22 00:00:00,6,0,3,0,0,0,0,0,0,0,0
"Williams","Trap 1",116.938316,-33.06014,2014-01-21,2014-01-22 00:00:00,5,0,6,0,0,0,0,0,0,0,0
"Williams","Trap 2",116.938162,-33.060184,2014-01-21,2014-01-22 00:00:00,0,0,5,0,0,0,0,0,0,0,0
"Duranillin","Trap 1",116.827276,-33.479275,2014-01-21,2014-01-22 00:00:00,5,0,3,0,0,0,0,0,0,0,0
"Duranillin","Trap 2",116.827388,-33.479177,2014-01-21,2014-01-22 00:00:00,4,0,5,0,0,0,0,0,0,0,0
"Kojonup","Trap 1",117.182348,-33.908095,2014-01-21,2014-01-22 00:00:00,6,0,0,0,0,0,0,0,0,0,0
"Kojonup","Trap 2",117.182336,-33.908102,2014-01-21,2014-01-22 00:00:00,3,0,0,0,0,0,0,0,0,0,0
"Jingalup","Trap 1",116.972397,-34.004007,2014-01-21,2014-01-22 00:00:00,10,0,2,0,0,0,0,0,0,0,0
"Jingalup","Trap 2",116.97241,-34.003891,2014-01-21,2014-01-22 00:00:00,12,1,0,0,0,0,0,0,0,0,0
"Vasse","Trap 1",115.337179,-33.750399,2014-01-15,2014-01-16 00:00:00,3668,15,91,0,1,0,0,0,0,0,0
"Vasse","Trap 2",115.337179,-33.7504,2014-01-15,2014-01-16 00:00:00,2266,32,51,0,4,0,0,0,0,0,0
"Narrikup","Trap 1",117.728324,-34.725057,2014-01-21,2014-01-22 00:00:00,463,6,0,1,17,0,0,0,0,0,0
"Narrikup","Trap 2",117.728324,-34.725057,2014-01-21,2014-01-22 00:00:00,627,6,0,0,22,0,0,0,0,0,0
"Manjimup","Trap 1",116.087979,-34.322199,2013-12-19,2013-12-20 00:00:00,101,7,0,0,1,0,0,0,0,0,0
"Manjimup","Trap 1",116.087979,-34.322199,2014-01-21,2014-01-22 00:00:00,1837,312,0,0,98,0,0,0,0,0,0
"Manjimup","Trap 2",116.087985,-34.322194,2013-12-19,2013-12-20 00:00:00,150,16,0,0,1,0,0,0,0,0,0
"Manjimup","Trap 2",116.087985,-34.322194,2014-01-21,2014-01-22 00:00:00,3215,968,0,0,46,0,0,0,0,0,0
"Bullsbrook","Trap 1",116.008171,-31.711725,2014-02-10,2014-02-11 14:08:29,1,0,0,0,0,0,8,0,0,0,0
"Badgingarra","Trap 1",115.591779,-30.277467,2014-02-10,2014-02-11 11:44:49,0,0,0,0,0,2,0,0,0,0,0
"Badgingarra","Trap 2",115.591987,-30.277745,2014-02-10,2014-02-11 11:46:24,0,0,0,0,0,2,1,0,0,0,0
"Bullsbrook","Trap 2",116.007969,-31.711522,2014-02-10,2014-02-11 14:09:25,2,0,0,0,0,2,5,0,0,0,0
"Narrikup","Trap 1",117.728324,-34.725057,2014-02-17,2014-02-18 17:21:09,245,27,0,0,10,0,0,0,0,0,0
"Narrikup","Trap 2",117.728324,-34.725057,2014-02-17,2014-02-18 17:21:44,265,24,0,0,13,0,0,0,0,0,0
"Jingalup","Trap 2",116.97241,-34.003891,2014-02-18,2014-02-19 10:26:18,0,0,1,0,0,0,0,0,0,0,0
"Kojonup","Trap 2",117.182336,-33.908102,2014-02-18,2014-02-19 11:04:05,0,0,1,0,0,0,0,0,0,0,0
"Duranillin","Trap 2",116.827388,-33.479177,2014-02-18,2014-02-19 12:43:21,1,0,6,0,0,0,0,0,0,0,0
"Williams","Trap 2",116.938162,-33.060184,2014-02-18,2014-02-19 13:44:09,18,1,11,0,0,0,0,0,0,0,0
"Narrikine","Trap 2",116.751078,-32.968848,2014-02-18,2014-02-19 14:27:38,7,0,0,0,0,0,0,0,0,0,0
"Jingalup","Trap 1",116.972397,-34.004007,2014-02-18,2014-02-19 10:25:48,2,0,0,0,0,0,0,0,0,0,0
"Kojonup","Trap 1",117.182348,-33.908095,2014-02-18,2014-02-19 11:03:39,2,0,0,0,0,0,0,0,0,0,0
"Duranillin","Trap 1",116.827276,-33.479275,2014-02-18,2014-02-19 12:42:39,4,0,2,0,0,0,0,0,0,0,0
"Williams","Trap 1",116.938316,-33.06014,2014-02-18,2014-02-19 13:43:29,17,2,17,0,0,0,0,0,0,0,0
"Narrikine","Trap 1",116.751078,-32.968845,2014-02-18,2014-02-19 14:27:08,4,0,0,0,0,0,0,0,0,0,0
"Vasse","Trap 1",115.337179,-33.750399,2014-02-18,2014-02-19 00:00:00,96,2,20,0,3,0,0,0,0,0,0
"Vasse","Trap 2",115.337179,-33.7504,2014-02-18,2014-02-19 00:00:00,65,0,10,0,4,0,0,0,0,0,0
"Williams","Trap 1",116.938316,-33.06014,2014-05-27,2014-05-28 16:04:33,0,0,0,0,0,0,0,53,0,0,8
"Williams","Trap 2",116.938162,-33.060184,2014-05-27,2014-05-28 16:05:00,0,0,0,0,0,0,0,29,0,0,3
"Williams","Trap 1",116.938316,-33.06014,2014-06-24,2014-06-25 10:15:32,0,0,0,0,0,0,0,15,0,0,0
"Williams","Trap 2",116.938162,-33.060184,2014-06-24,2014-06-25 10:16:21,0,0,0,0,0,0,0,22,0,0,0
"Williams","Trap 2",116.938162,-33.060184,2014-07-08,2014-07-09 10:46:31,0,0,0,0,0,0,0,14,0,0,2
"Williams","Trap 1",116.938316,-33.06014,2014-07-08,2014-07-09 10:47:49,0,0,0,0,0,0,0,22,0,0,0
"Williams","Trap 2",116.938162,-33.060184,2014-06-10,2014-06-11 00:00:00,0,0,0,0,0,0,0,83,0,0,2
"Williams","Trap 2",116.938162,-33.060184,2014-07-23,2014-07-24 00:00:00,0,0,0,0,0,0,0,12,0,0,2
"Williams","Trap 1",116.938316,-33.06014,2014-07-23,2014-07-24 00:00:00,0,0,0,0,0,0,0,24,0,0,2
"Williams","Trap 1",116.938316,-33.06014,2014-08-03,2014-08-04 00:00:00,0,0,0,0,0,0,0,23,0,0,2
"Williams","Trap 2",116.938162,-33.060184,2014-08-03,2014-08-04 00:00:00,0,0,0,0,0,0,0,16,0,0,5
"Williams","Trap 2",116.938162,-33.060184,2014-08-18,2014-08-19 00:00:00,0,0,0,0,0,0,0,13,0,0,4
"Williams","Trap 1",116.938316,-33.06014,2014-08-18,2014-08-19 00:00:00,0,0,0,0,0,0,0,11,0,0,0
"Williams","Trap 1",116.938316,-33.06014,2014-09-02,2014-09-03 00:00:00,8,0,1,0,0,0,0,6,0,0,2
"Williams","Trap 2",116.938162,-33.060184,2014-09-02,2014-09-03 00:00:00,8,0,0,0,0,0,0,6,0,0,2
"Williams","Trap 1",116.938316,-33.06014,2014-09-16,2014-09-17 00:00:00,7,0,0,0,0,0,0,4,0,0,7
"Williams","Trap 2",116.938162,-33.060184,2014-09-16,2014-09-17 00:00:00,2,0,0,0,0,0,0,2,0,0,1
"Williams","Trap 1",116.938316,-33.06014,2014-09-29,2014-09-30 00:00:00,6,0,1,0,0,0,0,2,0,0,0
"Williams","Trap 2",116.938162,-33.060184,2014-09-29,2014-09-30 00:00:00,10,0,0,0,0,0,0,1,0,0,1
"Williams","Trap 1",116.938316,-33.06014,2014-10-15,2014-10-16 00:00:00,52,0,2,0,0,0,0,0,0,0,0
"Williams","Trap 2",116.938162,-33.060184,2014-10-15,2014-10-16 00:00:00,37,0,3,0,0,0,0,0,0,0,0
"Badgingarra","Trap 1",115.591779,-30.277467,2012-04-23,2012-04-24 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Badgingarra","Trap 2",115.591987,-30.277745,2012-04-23,2012-04-24 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Bullsbrook","Trap 1",116.008171,-31.711725,2012-09-25,2012-09-26 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Bullsbrook","Trap 2",116.007969,-31.711522,2012-09-25,2012-09-26 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Bullsbrook","Trap 2",116.007969,-31.711522,2013-08-20,2013-08-21 00:00:00,0,0,0,0,0,0,16,2,0,0,0
"Bullsbrook","Trap 1",116.008171,-31.711725,2013-09-17,2013-09-18 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Clackline","Trap 1",116.574213,-31.729248,2013-03-25,2013-03-26 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Clackline","Trap 2",116.574014,-31.729294,2013-03-25,2013-03-26 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Clackline","Trap 1",116.574213,-31.729248,2013-10-08,2013-10-09 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Quairading","Trap 2",117.665843,-32.188177,2012-08-29,2012-08-30 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Quairading","Trap 1",117.666051,-32.188179,2012-09-27,2012-09-28 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Quairading","Trap 2",117.665843,-32.188177,2012-09-27,2012-09-28 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Quairading","Trap 1",117.666051,-32.188179,2013-07-16,2013-07-17 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Narrikine","Trap 2",116.751078,-32.968848,2012-07-10,2012-07-11 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Williams","Trap 2",116.938162,-33.060184,2013-12-17,2013-12-18 00:00:00,93,0,1,0,0,0,1,0,0,0,0
"Williams","Trap 1",116.938316,-33.06014,2014-06-10,2014-06-11 00:00:00,0,0,0,0,0,0,0,58,0,0,2
"Duranillin","Trap 2",116.827388,-33.479177,2012-03-20,2012-03-21 00:00:00,0,0,2,0,0,0,0,0,0,0,0
"Duranillin","Trap 1",116.827276,-33.479275,2012-10-02,2012-10-03 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Duranillin","Trap 1",116.827276,-33.479275,2013-04-16,2013-04-17 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Duranillin","Trap 1",116.827276,-33.479275,2013-09-03,2013-09-04 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Duranillin","Trap 1",116.827276,-33.479275,2013-10-02,2013-10-03 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Duranillin","Trap 2",116.827388,-33.479177,2013-10-02,2013-10-03 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Vasse","Trap 1",115.337179,-33.750399,2012-06-19,2012-06-20 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Vasse","Trap 2",115.337179,-33.7504,2012-06-19,2012-06-20 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Vasse","Trap 1",115.337179,-33.750399,2012-07-27,2012-07-28 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Vasse","Trap 2",115.337179,-33.7504,2012-07-27,2012-07-28 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Vasse","Trap 1",115.337179,-33.750399,2012-08-16,2012-08-17 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Vasse","Trap 2",115.337179,-33.7504,2012-08-16,2012-08-17 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Vasse","Trap 1",115.337179,-33.750399,2012-09-18,2012-09-19 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Vasse","Trap 2",115.337179,-33.7504,2012-09-18,2012-09-19 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Vasse","Trap 2",115.337179,-33.7504,2013-07-17,2013-07-18 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Vasse","Trap 1",115.337179,-33.750399,2013-08-20,2013-08-21 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Vasse","Trap 1",115.337179,-33.750399,2013-09-17,2013-09-18 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Vasse","Trap 2",115.337179,-33.7504,2013-09-17,2013-09-18 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Vasse","Trap 1",115.337179,-33.750399,2013-10-21,2013-10-22 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Vasse","Trap 2",115.337179,-33.7504,2013-10-21,2013-10-22 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Jingalup","Trap 1",116.972397,-34.004007,2012-03-20,2012-03-21 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Jingalup","Trap 2",116.97241,-34.003891,2012-03-20,2012-03-21 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Jingalup","Trap 1",116.972397,-34.004007,2012-04-17,2012-04-18 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Jingalup","Trap 2",116.97241,-34.003891,2012-08-07,2012-08-08 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Jingalup","Trap 1",116.972397,-34.004007,2012-10-30,2012-10-31 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Jingalup","Trap 1",116.972397,-34.004007,2013-04-16,2013-04-17 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Jingalup","Trap 2",116.97241,-34.003891,2013-04-16,2013-04-17 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Jingalup","Trap 1",116.972397,-34.004007,2013-05-14,2013-05-15 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Jingalup","Trap 2",116.97241,-34.003891,2013-05-14,2013-05-15 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Jingalup","Trap 1",116.972397,-34.004007,2013-07-09,2013-07-10 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Jingalup","Trap 1",116.972397,-34.004007,2013-08-05,2013-08-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Jingalup","Trap 1",116.972397,-34.004007,2013-09-03,2013-09-04 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Jingalup","Trap 2",116.97241,-34.003891,2013-09-03,2013-09-04 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Manjimup","Trap 1",116.087979,-34.322199,2012-07-09,2012-07-10 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Manjimup","Trap 2",116.087985,-34.322194,2012-07-09,2012-07-10 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Manjimup","Trap 1",116.087979,-34.322199,2012-08-08,2012-08-09 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Manjimup","Trap 1",116.087979,-34.322199,2013-08-05,2013-08-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Manjimup","Trap 2",116.087985,-34.322194,2013-08-05,2013-08-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Manjimup","Trap 1",116.087979,-34.322199,2013-09-26,2013-09-27 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Narrikup","Trap 1",117.728324,-34.725057,2012-03-20,2012-03-21 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Narrikup","Trap 1",117.728324,-34.725057,2012-04-16,2012-04-17 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Narrikup","Trap 1",117.728324,-34.725057,2012-05-14,2012-05-15 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Narrikup","Trap 2",117.728324,-34.725057,2012-06-12,2012-06-13 00:00:00,0,0,0,0,0,0,0,0,0,0,0
"Narrikup","Trap 1",117.728324,-34.725057,2012-08-06,2012-08-07 00:00:00,0,0,0,0,0,0,0,0,0,0,0
